customer_id,name,city,age,city_tier,occupation,declared_monthly_income,tenure_months,existing_products,digital_engagement_score,loan_product_interest,true_monthly_income,loan_converted,conversion_probability,cashflow_cv_label,existing_emi_ratio_label,monthly_credit_mean,monthly_credit_std,cashflow_cv,has_salary_credit,salary_regularity_score,estimated_salary,avg_monthly_income_proxy,avg_monthly_emi,emi_count,emi_to_income_ratio,recency_score,frequency_score,monetary_score,spend_concentration_hhi,has_auto_spend,has_realestate_spend,has_wedding_spend,has_education_spend,has_home_improvement_spend,has_jewellery_spend,total_monthly_debit,total_debit,avg_app_logins,avg_emi_calc_views,avg_loan_page_visits,total_product_views,engagement_trend,digital_engagement_composite,occupation_encoded,city_tier_encoded,interest_personal_loan,interest_home_loan,interest_mortgage_loan,interest_auto_loan,lead_score,lead_score_raw,estimated_income,income_confidence_band,income_deviation_pct,income_deviation_flag,loan_readiness_score,eligible_loan_amount,risk_flag_count,recommendation,explanation_summary
IDBI100010,Lajita Chatterjee,Kochi,32,Tier 2,gig_worker,22995.46,40,1,0.4875,Home Loan,35639.0,0,0.001,0.1242,0.0971,38787.00083333333,4818.211324556142,0.12422232245436719,0,0.6985,7618.55,38787.00083333333,3461.02,1.0,0.08923144160776718,1.0,0.5983263598326359,0.0612726034044286,0.1026,0,0,0,1,0,0,27682.16,332185.87,11.0,1.5833333333333333,1.8333333333333333,3,0.0,0.4216134916554615,0,1,0,1,0,0,1.9,0.0193632228719948,34643.1,High,-33.6,1,51.3,1398000.0,1,Review Required,Long banking relationship (40 months) with IDBI Bank → strong Home Loan intent
IDBI100011,Hemangini Lalla,Delhi,28,Tier 1,self_employed,136169.27,3,1,0.216,Auto Loan,156332.08,0,0.001,0.3797,0.0959,174841.79666666666,66386.57576696422,0.3796951131400763,0,0.5064,73747.73,174841.79666666666,14994.841666666667,1.0,0.0857623403130209,0.9230769230769231,0.5188284518828452,0.33510881269596654,0.1003,0,0,0,1,0,0,121592.18,1459106.15,4.333333333333333,0.8333333333333334,1.0,5,-0.0606,0.22504235228980463,1,2,0,0,0,1,0.0,0.0,156055.53,High,-12.7,0,42.4,2000000.0,2,Review Required,Mixed signals detected for Auto Loan eligibility — review recommended
IDBI100012,Tripti Yadav,Pune,34,Tier 1,gig_worker,29005.76,10,3,0.777,Home Loan,28259.61,0,0.144,0.1667,0.1953,29763.391666666666,4960.350009186181,0.16665943400333286,0,0.6556,4799.75,29763.391666666666,5520.444166666667,1.9166666666666667,0.1854776575362295,0.9230769230769231,0.803347280334728,0.04311087001463079,0.5862,0,1,0,1,0,0,107279.69,1287356.22,14.333333333333334,2.5833333333333335,3.0833333333333335,7,0.4023,0.633246401763822,0,2,0,1,0,0,9.3,0.09293755184263537,27833.03,High,4.2,0,47.4,807000.0,1,Review Required,Active digital banking engagement (score: 0.63) + Diversified spending across categories → strong Home Loan intent
IDBI100013,Kritika Brar,Jaipur,25,Tier 2,gig_worker,23469.55,54,1,0.8761,Home Loan,22736.27,0,0.1782,0.191,0.0935,23988.5525,4582.812408929547,0.19104163992093923,0,0.6179,4443.89,23988.5525,2125.13,1.0,0.08858933860223538,1.0,0.7364016736401674,0.03148790548050687,0.5165,0,1,0,1,0,0,63341.14,760093.74,18.583333333333332,2.5833333333333335,4.0,4,0.168,0.7299712251838961,0,1,0,1,0,0,62.5,0.625,22798.7,High,2.9,0,78.3,937000.0,0,Pre-qualified,Active digital banking engagement (score: 0.73) + Frequent app usage (18.6 logins/month) + Frequent loan product page visits (4.0/month) indicate interest → strong Home Loan intent
IDBI100014,Janaki Handa,Mumbai,48,Tier 1,self_employed,277959.85,14,4,0.4873,Auto Loan,400000.0,0,0.001,0.2322,0.2153,429075.13166666665,99643.69286607593,0.23222900958866477,0,0.6552,168581.56,429075.13166666665,86132.36,2.25,0.200739575993216,0.9230769230769231,0.5690376569037657,0.8468018574397023,0.1043,1,0,0,1,0,0,427401.98,5128823.7299999995,9.583333333333334,1.4166666666666667,2.0,8,-0.0423,0.3971484264019616,1,2,0,0,0,1,0.0,0.0,400035.53,High,-30.5,1,43.5,2000000.0,1,Review Required,"Healthy monthly spending of ₹427,402 indicates active lifestyle → strong Auto Loan intent"
IDBI100015,Chakradev Kari,Lucknow,46,Tier 2,self_employed,147452.81,30,1,0.1906,Home Loan,184073.31,0,0.001,0.2941,0.1056,219689.57083333333,64620.12129718792,0.294142871926368,0,0.7591,76390.06,219689.57083333333,19431.814166666667,1.0,0.08845123641034622,1.0,0.4476987447698745,0.42537350640075194,0.1019,0,0,0,1,0,0,130717.37,1568608.48,3.5833333333333335,0.8333333333333334,0.8333333333333334,1,0.0385,0.21058517756861506,1,1,0,1,0,0,0.0,0.0,200658.4,High,-26.5,1,47.2,8166000.0,1,Review Required,Mixed signals detected for Home Loan eligibility — review recommended
IDBI100016,Fariq Kaul,Hyderabad,35,Tier 1,gig_worker,47592.71,122,3,0.6061,Auto Loan,62877.59,0,0.001,0.1942,0.1773,67245.1525,13062.08343036587,0.19424572545011137,0,0.6697,13595.4,67245.1525,11145.834166666667,1.8333333333333333,0.1657492585308163,1.0,0.6820083682008368,0.11855005788967807,0.1097,0,0,0,1,0,0,54346.37,652156.47,13.166666666666666,1.6666666666666667,2.4166666666666665,7,-0.1667,0.48147025290674683,0,2,0,0,0,1,0.0,0.0,62077.44,High,-23.3,1,52.1,837000.0,1,Review Required,Long banking relationship (122 months) with IDBI Bank + Frequent app usage (13.2 logins/month) → strong Auto Loan intent
IDBI100017,Lajita Mall,Hyderabad,44,Tier 1,self_employed,398408.62,5,4,0.3155,Auto Loan,400000.0,0,0.001,0.2343,0.2156,420676.9633333333,98574.8692182004,0.23432438143776435,0,0.6704,174763.19,420676.9633333333,86258.89083333334,2.0833333333333335,0.20504781186457333,0.9230769230769231,0.5564853556485355,0.82989894293892,0.1204,0,0,0,1,0,0,356790.24,4281482.91,6.333333333333333,1.0833333333333333,1.25,1,-0.1429,0.28090458771652294,1,2,0,0,0,1,6.7,0.06747318850773364,398953.9,High,-0.1,0,44.8,2000000.0,1,Review Required,"Declared income of ₹398,409/month supports eligibility + Healthy monthly spending of ₹356,790 indicates active lifestyle → strong Auto Loan intent"
IDBI100018,Janya Gaba,Vadodara,38,Tier 2,self_employed,275958.0,43,3,0.5659,Mortgage Loan,320886.77,0,0.001,0.3816,0.2131,370598.20083333337,141421.12007470068,0.38160228451379086,0,0.6547,121593.08,370598.20083333337,68388.20833333333,2.1666666666666665,0.18453464744176967,1.0,0.6150627615062761,0.7291058881625924,0.1242,0,0,0,1,0,0,265437.7,3185252.45,11.416666666666666,1.5833333333333333,2.0,4,0.1184,0.44248469983390015,1,1,0,0,1,0,0.7,0.007017543859649123,320179.28,High,-13.8,0,47.4,7249000.0,1,Review Required,Diversified spending across categories → strong Mortgage Loan intent
IDBI100019,Isha Kadakia,Mumbai,44,Tier 1,salaried,63371.65,16,0,0.7557,Personal Loan,61391.17,0,0.1536,0.283,0.0,66424.74818181818,18801.283096226605,0.2830463586367483,1,1.0,66424.75,60889.3525,0.0,0.0,0.0,1.0,0.24267782426778242,0.10575779894463362,0.0966,0,0,1,1,0,0,44924.72,539096.64,15.666666666666666,2.5833333333333335,2.75,9,0.0654,0.6154952679348256,2,2,1,0,0,0,2.4,0.023839931885908897,62046.69,High,2.1,0,48.3,1395000.0,0,Review Required,Active digital banking engagement (score: 0.62) + Frequent app usage (15.7 logins/month) → strong Personal Loan intent
IDBI100020,Ekbal Garg,Vadodara,38,Tier 2,self_employed,133391.41,134,1,0.2371,Personal Loan,149804.51,0,0.001,0.2544,0.088,165090.835,42003.580241159856,0.25442708701037137,0,0.6202,69512.77,165090.835,13185.996666666666,1.0,0.07987116102881585,0.9230769230769231,0.46443514644351463,0.3154831437631489,0.0952,0,0,0,1,0,0,107725.25,1292702.96,4.083333333333333,0.5833333333333334,0.6666666666666666,3,0.28,0.20082769121252866,1,1,1,0,0,0,0.0,0.0,148871.14,High,-10.4,0,53.8,2500000.0,0,Review Required,Long banking relationship (134 months) with IDBI Bank → strong Personal Loan intent
IDBI100021,Nihal Shere,Hyderabad,30,Tier 1,salaried,243756.07,28,2,0.6976,Home Loan,250000.0,0,0.0038,0.3781,0.1647,327195.21777777775,123720.34839823276,0.37812395070596755,1,1.0,327195.22,245396.41333333333,41172.16333333334,1.75,0.16777817888237542,0.9230769230769231,0.4351464435146444,0.47711342677575974,0.0977,0,1,0,1,0,0,224497.78,2693973.41,11.5,2.0,2.8333333333333335,9,-0.023,0.5153198350866093,2,2,0,1,0,0,5.5,0.054838709677419356,250247.44,High,-2.6,0,47.1,8232000.0,1,Review Required,Frequent loan product page visits (2.8/month) indicate interest → strong Home Loan intent
IDBI100022,Anamika Kanda,Pune,35,Tier 1,salaried,249336.79,6,1,0.6185,Mortgage Loan,250000.0,0,0.0015,0.3486,0.0966,301406.784,105076.86529716014,0.34862143413852337,1,1.0,301406.78,251172.31999999998,24148.11666666667,1.0,0.09614163163626736,0.6153846153846154,0.05439330543933055,0.4887385398571041,0.09,0,0,0,1,1,0,186400.21,2236802.56,11.666666666666666,1.75,2.5833333333333335,7,-0.1209,0.4794438821877719,2,2,0,0,1,0,0.0,0.0,250026.81,High,-0.3,0,42.6,7500000.0,2,Review Required,Highly regular income credit pattern (100% regularity) → strong Mortgage Loan intent
IDBI100023,Daksh Karnik,Nagpur,49,Tier 2,salaried,132270.36,37,0,0.6833,Mortgage Loan,138205.33,0,0.0124,0.3488,0.0,166258.26799999998,57991.10944320091,0.3488013567132849,1,1.0,166258.27,138548.55666666667,0.0,0.0,0.0,1.0,0.2594142259414226,0.2620617495356019,0.1088,0,0,0,1,1,0,123910.17,1486922.03,14.083333333333334,1.9166666666666667,2.8333333333333335,14,-0.0849,0.5404143470695246,2,1,0,0,1,0,11.5,0.11477663230240549,139770.28,High,-5.4,0,53.8,6023000.0,1,Review Required,Active digital banking engagement (score: 0.54) + Long banking relationship (37 months) with IDBI Bank + Frequent app usage (14.1 logins/month) → strong Mortgage Loan intent
IDBI100024,Diya Rattan,Siliguri,59,Tier 3,salaried,54199.26,84,0,0.5501,Personal Loan,51809.84,0,0.0035,0.3772,0.0,68993.55444444444,26023.91854958344,0.37719347494320843,1,1.0,68993.55,51745.16583333333,0.0,0.0,0.0,1.0,0.17154811715481172,0.08735338035345344,0.1323,0,0,0,1,0,0,39691.57,476298.85,11.5,2.0,2.1666666666666665,4,-0.0241,0.47776483508660916,2,0,1,0,0,0,1.1,0.011494252873563218,51719.1,High,4.8,0,53.2,1163000.0,1,Review Required,Active digital banking engagement (score: 0.48) + Manageable existing EMI of ₹0/month → strong Personal Loan intent
IDBI100025,Dominic Kakar,Chennai,32,Tier 1,self_employed,270228.31,75,2,0.5981,Home Loan,317326.87,0,0.0036,0.2186,0.1921,369109.685,80691.12203112608,0.2186101457379155,0,0.6196,162263.93,369109.685,60946.02833333333,1.8333333333333333,0.16511630772661337,0.7692307692307692,0.5230125523012552,0.7261099663299674,0.1119,0,1,0,1,0,0,306918.46,3683021.57,12.5,2.0,2.3333333333333335,5,0.046,0.5040277347148621,1,2,0,1,0,0,9.3,0.09293755184263537,316886.44,High,-14.7,0,56.6,9409000.0,0,Review Required,"Healthy monthly spending of ₹306,918 indicates active lifestyle + Long banking relationship (75 months) with IDBI Bank → strong Home Loan intent"
IDBI100026,Simon Tata,Mumbai,50,Tier 1,gig_worker,33226.23,20,2,0.6417,Auto Loan,32733.66,0,0.0115,0.0852,0.1576,35753.89,3045.03899160884,0.08516664876489916,0,0.6448,6063.17,35753.89,5159.861666666667,1.5833333333333333,0.14431609166629608,1.0,0.698744769874477,0.055167889727311695,0.6335,1,0,0,1,0,0,128411.95,1540943.3900000001,11.833333333333334,1.8333333333333333,3.4166666666666665,16,0.0562,0.5437873441825516,0,2,0,0,0,1,8.1,0.08110959485338808,32535.69,High,2.1,0,51.1,481000.0,0,Review Required,Diversified spending across categories + Active digital banking engagement (score: 0.54) + Frequent loan product page visits (3.4/month) indicate interest → strong Auto Loan intent
IDBI100027,Tara Dhar,Aligarh,41,Tier 3,self_employed,165795.19,21,1,0.4827,Personal Loan,194427.59,0,0.001,0.3287,0.1134,240964.84166666667,79196.88050294519,0.3286657088858649,0,0.5404,112997.04,240964.84166666667,22055.013333333336,1.0,0.09152793071714024,0.8461538461538461,0.3472803347280335,0.46819404411841975,0.1042,0,0,0,1,0,0,164357.21,1972286.56,9.333333333333334,1.1666666666666667,2.1666666666666665,10,0.0597,0.3891287653246856,1,0,1,0,0,0,0.0,0.0,195703.19,High,-15.3,0,45.3,2500000.0,1,Review Required,Mixed signals detected for Personal Loan eligibility — review recommended
IDBI100028,Liam Koshy,Guwahati,31,Tier 2,salaried,142202.64,15,0,0.7524,Home Loan,136895.16,0,0.1296,0.3533,0.0,164537.582,58124.000665432475,0.35325668433265583,1,1.0,164537.58,137114.65166666667,0.0,0.0,0.0,0.8461538461538461,0.19246861924686193,0.259175742414139,0.1073,0,1,0,1,0,0,116412.37,1396948.47,14.416666666666666,2.5,2.5833333333333335,9,0.0816,0.5838186646761053,2,1,0,1,0,0,13.9,0.1390597864242693,137078.88,High,3.7,0,51.0,7108000.0,1,Review Required,Active digital banking engagement (score: 0.58) + Frequent app usage (14.4 logins/month) + Low existing EMI burden (0% of income) → strong Home Loan intent
IDBI100029,Priya Rastogi,Udaipur,33,Tier 3,self_employed,145333.36,3,2,0.3361,Home Loan,229761.7,0,0.001,0.4082,0.1455,235970.55583333332,96316.16379995561,0.40817026285255686,0,0.7044,85273.18,235970.55583333332,33433.23333333333,1.5,0.14168391990798768,1.0,0.41841004184100417,0.45814209194472516,0.0973,0,1,0,1,0,0,196728.48,2360741.77,6.0,0.8333333333333334,1.3333333333333333,7,-0.2745,0.25540218500355927,1,0,0,1,0,0,0.0,0.0,208119.55,Low,-30.2,1,26.3,6939000.0,4,Not Recommended,Mixed signals detected for Home Loan eligibility — review recommended
IDBI100030,Theodore Devi,Chandigarh,34,Tier 2,salaried,131957.35,4,4,0.7539,Personal Loan,137186.66,0,0.001,0.3765,0.1234,184567.01888888888,69486.22466191922,0.3764823481477511,1,1.0,184567.02,138425.26416666666,16922.803333333333,1.4166666666666667,0.12225227407157378,0.46153846153846156,0.2928870292887029,0.2618135998792278,0.099,0,0,0,1,0,0,116482.5,1397789.98,15.833333333333334,1.6666666666666667,2.4166666666666665,12,-0.1121,0.5198879852487542,2,1,1,0,0,0,0.0,0.0,139455.34,High,-5.4,0,41.9,2374000.0,2,Review Required,Active digital banking engagement (score: 0.52) → strong Personal Loan intent
IDBI100031,Gavin Batta,Rourkela,38,Tier 3,salaried,226047.93,125,3,0.5308,Home Loan,224837.08,0,0.026,0.3547,0.1771,270669.402,96009.06107453318,0.35470969516729184,1,1.0,270669.4,225557.835,39811.25916666666,1.6666666666666667,0.17650133575127933,0.8461538461538461,0.3723849372384937,0.4371845065546155,0.1598,0,1,0,1,0,0,290683.01,3488196.12,11.25,0.8333333333333334,2.3333333333333335,12,0.0897,0.4001224080518864,2,0,0,1,0,0,1.9,0.0193632228719948,224045.14,High,0.9,0,51.1,7030000.0,1,Review Required,"Healthy monthly spending of ₹290,683 indicates active lifestyle + Long banking relationship (125 months) with IDBI Bank → strong Home Loan intent"
IDBI100032,Michael Dutta,Kolkata,59,Tier 1,salaried,91454.17,15,1,0.4356,Mortgage Loan,91787.38,0,0.001,0.3803,0.1092,122107.9788888889,46441.616825901,0.38033236851917884,1,1.0,122107.98,91580.98416666668,10020.026666666667,1.0,0.1094116508775598,1.0,0.20502092050209206,0.16753055764156027,0.1115,0,0,0,1,1,0,96046.87,1152562.48,10.333333333333334,1.25,2.0,3,-0.0267,0.39519964367634264,2,2,0,0,1,0,1.6,0.01602655286865813,91010.33,High,0.5,0,44.2,2962000.0,1,Review Required,Mixed signals detected for Mortgage Loan eligibility — review recommended
IDBI100033,Devansh Rajan,Indore,45,Tier 2,gig_worker,81571.07,3,0,0.8879,Mortgage Loan,80000.0,1,0.508,0.1302,0.0,94841.54583333334,12351.502005927314,0.13023303128813207,0,0.6448,13793.97,94841.54583333334,0.0,0.0,0.0,1.0,0.8410041841004184,0.17409305947394738,0.1031,0,0,0,1,0,0,47252.66,567031.96,16.083333333333332,3.1666666666666665,4.25,17,-0.1085,0.741432327177094,0,1,0,0,1,0,84.7,0.8472222222222222,80755.92,High,1.0,0,80.1,3480000.0,1,Pre-qualified,Active digital banking engagement (score: 0.74) + Frequent loan product page visits (4.2/month) indicate interest + Frequent app usage (16.1 logins/month) → strong Mortgage Loan intent
IDBI100034,Upadhriti Wadhwa,Udaipur,41,Tier 3,self_employed,156491.83,19,1,0.4213,Mortgage Loan,198725.52,0,0.001,0.271,0.1041,222412.245,60274.63776790464,0.2710041336433821,0,0.4929,73699.87,222412.245,20690.9875,1.0,0.09302989365536056,1.0,0.502092050209205,0.43085340711552955,0.0876,0,0,0,1,1,0,180235.09,2162821.0300000003,8.083333333333334,1.3333333333333333,1.6666666666666667,4,-0.0169,0.35321109823617813,1,0,0,0,1,0,0.0,0.0,198110.16,High,-21.0,1,45.6,6556000.0,1,Review Required,Mixed signals detected for Mortgage Loan eligibility — review recommended
IDBI100035,Advay Contractor,Nagpur,33,Tier 2,salaried,196262.56,33,1,0.2797,Mortgage Loan,187738.28,0,0.001,0.3554,0.1029,282549.07875,100424.879101771,0.3554245497668996,1,1.0,282549.08,188366.0525,19316.579166666666,1.0,0.10254809139065367,1.0,0.2719665271966527,0.3623289553466207,0.0887,0,0,0,1,1,0,176354.8,2116257.66,4.333333333333333,0.5833333333333334,2.0,6,0.375,0.2839234161195918,2,1,0,0,1,0,0.7,0.007017543859649123,189943.81,High,3.3,0,47.2,6336000.0,1,Review Required,Increasing digital engagement trend (+38%) → strong Mortgage Loan intent
IDBI100036,Harini Choudhury,Aligarh,39,Tier 3,self_employed,329750.08,75,1,0.5128,Personal Loan,400000.0,0,0.0032,0.2545,0.117,447930.1475,113976.43796053689,0.25445136612631525,0,0.5835,189753.65,447930.14749999996,46784.22666666666,1.0,0.1044453625811526,1.0,0.4476987447698745,0.8847511706580089,0.0943,0,0,1,1,0,0,332367.39,3988408.7,10.416666666666666,2.0,2.25,17,0.1408,0.4761991938226686,1,0,1,0,0,0,2.1,0.02050326188257223,399788.38,High,-17.5,0,54.2,2500000.0,0,Review Required,"Healthy monthly spending of ₹332,367 indicates active lifestyle + Long banking relationship (75 months) with IDBI Bank → strong Personal Loan intent"
IDBI100037,Radhika Dugar,Kolkata,48,Tier 1,salaried,59375.08,15,2,0.6871,Auto Loan,57068.61,0,0.001,0.2932,0.1486,62048.20999999999,18193.096873074686,0.2932090526555833,1,1.0,62048.21,56877.525833333326,8477.616666666667,1.5,0.149050376971537,0.8461538461538461,0.35564853556485354,0.09768323310514296,0.1032,0,0,0,1,0,0,45349.78,544197.37,16.25,2.5,2.4166666666666665,13,0.0364,0.5967189806612354,2,2,0,0,0,1,0.7,0.007017543859649123,56587.18,High,4.9,0,45.1,866000.0,0,Review Required,Frequent app usage (16.2 logins/month) + Active digital banking engagement (score: 0.60) → strong Auto Loan intent
IDBI100038,Aarush Lall,Lucknow,21,Tier 2,gig_worker,34046.27,14,1,0.901,Auto Loan,42794.77,1,0.5666,0.1478,0.0835,45672.738333333335,6751.344021338985,0.1478199965166453,0,0.7134,9561.89,45672.738333333335,3571.978333333333,1.0,0.07820810539678975,0.9230769230769231,0.5815899581589958,0.0751314625767756,0.2391,1,0,0,1,0,0,64630.48,775565.72,18.416666666666668,2.5,4.75,16,-0.1711,0.7465902631891164,0,1,0,0,0,1,88.9,0.8888888888888888,42707.93,High,-20.3,1,81.7,827000.0,1,Pre-qualified,Active digital banking engagement (score: 0.75) + Frequent app usage (18.4 logins/month) + Frequent loan product page visits (4.8/month) indicate interest → strong Auto Loan intent
IDBI100039,Yashica Cherian,Delhi,58,Tier 1,salaried,111825.92,6,1,0.4822,Mortgage Loan,117207.27,0,0.001,0.2618,0.1204,127866.00818181816,33477.43653791545,0.26181654541301114,1,1.0,127866.01,117210.5075,14108.938333333334,1.0,0.1203726409369342,0.9230769230769231,0.3598326359832636,0.21911485845625858,0.0898,0,0,0,1,1,0,108005.33,1296063.96,9.583333333333334,0.8333333333333334,1.5833333333333333,9,-0.2821,0.3170400753381318,2,2,0,0,1,0,0.7,0.007017543859649123,117539.63,High,-4.9,0,43.4,3714000.0,1,Review Required,Mixed signals detected for Mortgage Loan eligibility — review recommended
